Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
CCM API - Consupmtion,Yes,microsoft.consumption,consumption,,Done,NotStarted,NotStarted,NotStarted,specification/consumption/resource-manager/Microsoft.Consumption/Consumption/tspconfig.yaml,2024-08-01,sdk/consumption/azure-resourcemanager-consumption,2021-10-01,https://github.com/Azure/azure-sdk-for-java/pull/48290,
CCM API - CostManagement,Yes,microsoft.costmanagement,cost-management,Done,Done,NotStarted,NotStarted,NotStarted,specification/cost-management/resource-manager/Microsoft.CostManagement/CostManagement/tspconfig.yaml,2025-03-01,sdk/costmanagement/azure-resourcemanager-costmanagement,2022-10-01,https://github.com/Azure/azure-sdk-for-java/pull/48313,
Azure Stack Edge Service,Yes,microsoft.databoxedge,databoxedge,Done,Done,NotStarted,NotStarted,NotStarted,specification/databoxedge/resource-manager/Microsoft.DataBoxEdge/DataBoxEdge/tspconfig.yaml,2023-12-01,sdk/databoxedge/azure-resourcemanager-databoxedge,2019-08-01,https://github.com/Azure/azure-sdk-for-java/pull/48304,
Service Bus,Yes,Microsoft.EventHub,eventhub,Done,Done,Released,NotStarted,NotStarted,,,,,,
Azure NetApp Files,Yes,Microsoft.NetApp,netapp,,AlreadyTypeSpec,Released,Released,Released,,,,,,
Network Cloud,No,Microsoft.NetworkCloud,networkcloud,Done,Done,Released,NotStarted,Released,specification/networkcloud/NetworkCloud.Management/tspconfig.yaml,2026-01-01-preview,sdk/networkcloud/azure-resourcemanager-networkcloud,2025-09-01,https://github.com/Azure/azure-sdk-for-java/pull/48943,
Liftr-Newrelic,Yes,NewRelic.Observability,newrelic,Done,Released,Released,NotStarted,Released,specification/newrelic/NewRelicObservability.Management/tspconfig.yaml,2025-05-01-preview,sdk/newrelicobservability/azure-resourcemanager-newrelicobservability,2025-05-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48200,
Liftr-PAN,Yes,PaloAltoNetworks.Cloudngfw,paloaltonetworks,Done,AlreadyTypeSpec,Released,NotStarted,Released,,,,,,
Azure Database for PostgreSQL - Flexible Server,Yes,microsoft.dbforpostgresql,postgresql,Done,AlreadyTypeSpec,Released,Released,Released,specification/postgresql/DBforPostgreSQL.Management/tspconfig.yaml,2026-01-01-preview,sdk/postgresqlflexibleserver/azure-resourcemanager-postgresqlflexibleserver,2026-01-01-preview,,Service have not released this lib on 2026-01-01-preview
Arc Appliance,Yes,Microsoft.ResourceConnector,resourceconnector,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
WATM (offering: Traffic Manager),Yes,Microsoft.Network,trafficmanager,Done,Done,Released,NotStarted,ToRelease,,,,,https://github.com/Azure/azure-sdk-for-java/pull/48375,
API Management,Yes,microsoft.apimanagement,apimanagement,,Done,NotStarted,NotStarted,NotStarted,specification/apimanagement/resource-manager/Microsoft.ApiManagement/ApiManagement/tspconfig.yaml,2025-03-01-preview,sdk/apimanagement/azure-resourcemanager-apimanagement,2024-05-01,https://github.com/Azure/azure-sdk-for-java/pull/48311,
Microsoft Azure Attestation,Yes,Microsoft.Attestation,attestation,Done,Done,Released,NotStarted,NotStarted,specification/attestation/resource-manager/Microsoft.Attestation/Attestation/tspconfig.yaml,2021-06-01,sdk/attestation/azure-resourcemanager-attestation,2020-10-01,https://github.com/Azure/azure-sdk-for-java/pull/48305,
Azure Batch,Yes,Microsoft.Batch,batch,Done,Done,Released,Released,Released,specification/batch/resource-manager/Microsoft.Batch/Batch/tspconfig.yaml,2025-06-01,sdk/batch/azure-resourcemanager-batch,2024-07-01,https://github.com/Azure/azure-sdk-for-java/pull/48307,
